tweet,date,city,user_location,id,link
Buenos días! Compártenos alguna foto de tu Halloween y cuéntanos qué tal pasaste.,2020-11-07 14:06:03,Bogotá,Bogota - Colombia,1325077054711324672,https://twitter.com/i/web/status/1325077054711324672
"ESPECIAL: #Halloween 🎃 (152) - Edición: Soy más de octubre que de diciembre.

Para el centro de mesa 💀

#skull #table Uffff #goth #Calaca #Calavera #Dark https://t.co/Tjglb24QED",2020-11-07 09:04:52,Bogotá,"Bogotá, Colombia",1325001259989037056,https://twitter.com/i/web/status/1325001259989037056
"Soluciones para una sociedad sin solución
Que continúe la mentira
La costumbre es más fuerte que el amor
Repite la cómoda ignorancia

Fingir es mejor
Prefiero la pretensión
Para que tener sólo una cara?
Triqui, triqui, Halloween
Nanananitaea 

(Pogo)

(Más pogo)",2020-11-07 08:51:28,Bogotá,Bogotá-Colombia,1324997889064660997,https://twitter.com/i/web/status/1324997889064660997
"Soluciones para una sociedad sin solución
Que continúe la mentira
La costumbre es más fuerte que el amor
Repite la cómoda ignorancia

Fingir es mejor
Prefiero la pretensión
Para que tener sólo una cara?
Triqui, triqui, Halloween
Nanananitaea",2020-11-07 08:51:09,Bogotá,Bogotá-Colombia,1324997810438201344,https://twitter.com/i/web/status/1324997810438201344
"ESPECIAL: #Halloween 🎃 (151) - Edición: Soy más de octubre que de diciembre

Según La llave menor de Salomón, un libro sobre demonología del siglo XVII, Valak (también escrito Valac, Volac, Valax, etc...) es el Gran Presidente del Infierno. En el texto, Valak aparece no como una https://t.co/1n9iRvsEht",2020-11-07 08:50:08,Bogotá,"Bogotá, Colombia",1324997550705942536,https://twitter.com/i/web/status/1324997550705942536
"ESPECIAL: #Halloween🎃(150) - Edición: Soy más de octubre que de diciembre

Cuando descubres que se viene el viernes 13 de noviembre y además se cumplen 98 años del informe pronunciado por #Lenin ante el IV Congreso de la Internacional Comunista (13 de noviembre de 1922).

Batman https://t.co/OP6ePoxeCm",2020-11-07 08:26:12,Bogotá,"Bogotá, Colombia",1324991529107263490,https://twitter.com/i/web/status/1324991529107263490
"ESPECIAL: #Halloween 🎃 (149) - Edición: Soy más de octubre que de diciembre.

Hazlo por ella...

#Disfraz #MiVillanoFavorito WhatsApp #DespicableMe #AGNES @ElsieFisher #Gru #SteveCarell #Hombres #Mujeres #princesa #hija https://t.co/yIlVVXmM0E",2020-11-07 08:07:28,Bogotá,"Bogotá, Colombia",1324986816609529856,https://twitter.com/i/web/status/1324986816609529856
"ESPECIAL: #Halloween 🎃 (148) - Edición: Soy más de octubre que de diciembre.

Demasiado tarde...

#Disfraz #SensualScribbles The Beatles #ECSTASY #MIEDO #Ereccion #Hombres #Mujeres https://t.co/19hS77O01e",2020-11-07 07:42:25,Bogotá,"Bogotá, Colombia",1324980509601132544,https://twitter.com/i/web/status/1324980509601132544
"ESPECIAL #Halloween🎃(147)-Edición: Soy más de octubre que de diciembre

Aun siendo cifras que asustan, son insignificantes ante el número de muertes del mayor genocida de la historia que sigue entre nosotros: 52.000 millones de personas

¿Sabes quién es?🦟El Anopheles y el Aedes https://t.co/WDVkNUl89j",2020-11-07 07:26:18,Bogotá,"Bogotá, Colombia",1324976457332953088,https://twitter.com/i/web/status/1324976457332953088
"ESPECIAL: #Halloween 🎃 (146) - Edición: Soy más de octubre que de diciembre.

🤔

#Fecha5 #Nacer #gifs #Disfraz Hannah Montana #continuant #Mes324 https://t.co/4ZFoSynbHI",2020-11-07 07:04:49,Bogotá,"Bogotá, Colombia",1324971049214238720,https://twitter.com/i/web/status/1324971049214238720
"ESPECIAL #Halloween🎃(145)Edición: Soy más de octubre que de diciembre

La mosca: La mezcla de inmodestia, soberbia y timidez que refleja de forma asombrosa Golddblum en su encarnación de Seth Brundle contrasta con el escepticismo con el que lo mira la periodista Veronica Quaife. https://t.co/F1lYc1Wdn3",2020-11-07 06:48:36,Bogotá,"Bogotá, Colombia",1324966966084374529,https://twitter.com/i/web/status/1324966966084374529
Antes inicio de la caida de occidente sabía que tenía que pasar un rato en Halloween y mi cumpleaños en @statuarota -Este año no fue.,2020-11-07 06:36:07,Bogotá,Bogota,1324963824504627201,https://twitter.com/i/web/status/1324963824504627201
"ESPECIAL #Halloween🎃 (144)-Edición: Soy más de octubre que de diciembre.

Hellboy: Un nutrido homenaje a mitos del fantástico tan diversos como los 'Ghoulies' y el folk horror, el heavy metal y 'Depredador', el pulp de aventuras de los años cuarenta y el cine satánico de los 60. https://t.co/oRqrjQyt2f",2020-11-07 06:28:09,Bogotá,"Bogotá, Colombia",1324961823221817345,https://twitter.com/i/web/status/1324961823221817345
"ESPECIAL #Halloween 🎃 (Parte 143.3) - Edición: Soy más de octubre que de diciembre.

Figuras de terror...

#Terror #Hereditary Amazon Prime #ElLegadoDelDiablo #MillyShapiro #CharlieGraham #GabrielByrne #SteveGraham #Possession @IsabelleAdjani #Anna #helen  #theshining #NormanGay https://t.co/YYz7bjtxx5",2020-11-07 06:05:06,Bogotá,"Bogotá, Colombia",1324956019819212800,https://twitter.com/i/web/status/1324956019819212800
Así estuve de Halloween... En casita y trabajando para las comunidades Geek @gaymersamigeeks @PokemonGoAppLA  @GArnauda https://t.co/SI9ec0WDcx,2020-11-07 05:12:56,Bogotá,"Bogotá, D.C., Colombia",1324942893447077888,https://twitter.com/i/web/status/1324942893447077888
"💀🎃👻 #halloween en Quindio, Colombia https://t.co/mIFYWgVmvy",2020-11-07 03:57:04,Bogotá,Colombia,1324923799368839168,https://twitter.com/i/web/status/1324923799368839168
"Cantar 💕💕🎶🎶 sintiéndolos a todos a distancia en la Fiesta de Halloween de @tourestudiantil @ultimateears 😊🥰 Gracias a todos por sus lindos mensajes, fue una noche inolvidable 🤗😘

#amor #felicidad #felizviernes #happyhalloween #TourEstudiantil #enamorada #TúYYo #YMeEnamora https://t.co/xHu97FJviU",2020-11-07 02:59:27,Bogotá,"Bogotá, D.C., Colombia",1324909298959470592,https://twitter.com/i/web/status/1324909298959470592
"Los que somos de tierra caliente, entendemos perfectamente 🍲

#calor #Hot #Halloween #comida #Soup #Madres https://t.co/kyms8LZsKx",2020-11-07 02:59:23,Bogotá,"Bogotá, Colombia",1324909281544638465,https://twitter.com/i/web/status/1324909281544638465
"ESPECIAL: #customized 📀 (Parte 1.3).

#MIDSOMMAR @A24 @AriAster #DVD #steelbook #folk #pagan #Terror #FlorencePugh #Halloween #Secta #Bluray #special #Edition https://t.co/ukb1hpyHSO",2020-11-07 02:45:22,Bogotá,"Bogotá, Colombia",1324905757951844360,https://twitter.com/i/web/status/1324905757951844360
"ESPECIAL #Halloween 🎃 (Parte 143.2) - Edición: Soy más de octubre que de diciembre.

Figuras de terror...

#Terror #anightmareonelmstreet Shrek #AmandaWyss #TinaGrey #Slasher #TrickrTreat #Sam #QuinnLord #TheTexasChainSawMassacre #Manager #LEATHERFACE #TheShining #BillieGibson https://t.co/S2qsYUcdKN",2020-11-07 01:42:50,Bogotá,"Bogotá, Colombia",1324890017165172736,https://twitter.com/i/web/status/1324890017165172736
Esperábamos ir a una fiesta de disfraces este año en @Openmindswinger pero no se pudo 🤷🏻‍♀️ ¿ustedes cómo pasaron Halloween🎃? https://t.co/JEN7aYLPik,2020-11-07 04:53:46,Medellín,"Antioquia, Colombia",1324938069896818691,https://twitter.com/i/web/status/1324938069896818691
"Esta es la escusa mas marica para ponerse un falda, parce si no aprovecharon halloween par hacer entonces salga de una vez del closet y listo  jajajajaajja https://t.co/kMHwsOsTT5",2020-11-06 19:06:36,Medellín,"Medellín, Colombia",1324790305246355461,https://twitter.com/i/web/status/1324790305246355461
"Eyyyy falle con el disfraz de Halloween... 🎃 

De haber sabido que iban a sacar este Remix más bien me hubiera disfrazado de Hawái de vacaciones Remix 

Que temaaazooo",2020-11-06 16:38:56,Medellín,"Medellín, Colombia",1324753140948893696,https://twitter.com/i/web/status/1324753140948893696
"Divertidas actividades creamos para compartir y celebrar desde casa el halloween.

 #familialazosyvida #gruposdeapoyo https://t.co/xq58Q02Erd",2020-11-06 15:11:38,Medellín,"Medellín, Colombia",1324731171067088898,https://twitter.com/i/web/status/1324731171067088898
"@diegoagudelogir @alcagirardota Jajajajja que payasada, pero para el fin se semana de Halloween quería llevar la contraria  a todo el departamento.",2020-11-06 08:57:12,Medellín,medellín_colombia,1324636941346873344,https://twitter.com/i/web/status/1324636941346873344
@deasaurr @BrawlStarsES Van a salir el próximo Halloween la skin los emotes,2020-11-06 08:21:21,Medellín,"Medellín, Colombia",1324627921873625088,https://twitter.com/i/web/status/1324627921873625088
"@paulinamenesesv Halloween 1 y 2, Sinister, Hereditary, Borat 2, Niñas Mal, Hellraiser, Yves Saint Laurent Creador de Fuego, Autopsy of Jane Doe, Bob Esponja, Suspiria (original), Insidious, Knives Out, Grave Encounters, Red Dragon, Una Mujer Fantástica, Conjuring, Matrix 1, One Flew Over The...",2020-11-06 03:00:33,Medellín,"Medellín, Colombia",1324547189348196355,https://twitter.com/i/web/status/1324547189348196355
@alejo_xcx si es disfrazados porque no hice nada en halloween,2020-11-05 22:42:23,Medellín,"Medellín, Colombia",1324482221051400192,https://twitter.com/i/web/status/1324482221051400192
"@AlcaldiadeMed @QuinteroCalle toque de queda a menores, se prohibió halloween, alerta hospitalaria, crecimiento de casos, pero eso sí vamos con toda con la feria de las flores, entendible, lo anterior no le representa ingresos al municipio. Buena alcalde!",2020-11-05 22:40:50,Medellín,Medellin,1324481828640772100,https://twitter.com/i/web/status/1324481828640772100
Tendencias del comercio en tiempo real: análisis de transacciones tarjetahabientes Bancolombia. Las ventas al por menor presentan una contracción del 23% durante la semana del 24 al 30 de octubre. Bogotá la ciudad más impactada por restricciones de Halloween. https://t.co/w15IbUWPmT,2020-11-05 21:34:58,Medellín,"Medellín, Antioquia",1324465254735249408,https://twitter.com/i/web/status/1324465254735249408
"@NoticiasCaracol Claro, la misma mesura que tuvieron en la celebración del Halloween...",2020-11-05 21:17:49,Medellín,"Medellín, Colombia",1324460936095240192,https://twitter.com/i/web/status/1324460936095240192
"El Aire para tu hogar lo encuentras en #MegaAires según tu necesidad y espacio.
📞➡ 448 41 60 - 304 6610368 Cotiza sin compromiso.
#ventilacion #clima 
#MegaAiresMedellin #aireacondicionado #aire #freshair #halloween #ofertasdeespanto #ofertas #refrigeracion https://t.co/oSxOcq8Ojd",2020-11-05 16:48:27,Medellín,"Medellín, Antioquia",1324393148823601154,https://twitter.com/i/web/status/1324393148823601154
Solo faltan 360 días para el próximo Halloween! @eli_santi @lorenarojassoto @AnadelMarC. Hay que ir pensando,2020-11-05 15:42:53,Medellín,"Medellin, Colombia",1324376649031471112,https://twitter.com/i/web/status/1324376649031471112
"Un poco tarde, pero solo un recuerdo de ese halloween en el que sentí mis avenas con el disfraz de Luz Buenona https://t.co/Ch5XAdqnwV",2020-11-05 15:34:27,Medellín,"Envigado, Colombia",1324374525128151040,https://twitter.com/i/web/status/1324374525128151040
Halloween coogranada https://t.co/Wb3ZYoavDO,2020-11-05 14:51:57,Medellín,"Medellín, Colombia",1324363832513515523,https://twitter.com/i/web/status/1324363832513515523
Definitivamente la @AlcaldiadeMed sigue de Halloween! @Quinterocalle y sus #Quinteradas https://t.co/4K7FOAHyWG,2020-11-05 14:42:52,Medellín,Medellin ,1324361545858588672,https://twitter.com/i/web/status/1324361545858588672
"Así celebramos el #Halloween en @cdcoogranada 
Barrio Granizal, siempre presentes. 
@AntioquiaLAF 
@juanrafael103 
@INDERMEDELLIN https://t.co/AtizjULH7W",2020-11-05 14:21:06,Medellín,"Medellín, Colombia",1324356066029785090,https://twitter.com/i/web/status/1324356066029785090
Mujer abandonó a sus hijos por ir a fiesta clandestina de Halloween https://t.co/x7lRb3TQjh,2020-11-05 13:39:49,Medellín,"Medellín, Colombia",1324345678416564226,https://twitter.com/i/web/status/1324345678416564226
Mujer abandonó a sus hijos por ir a fiesta clandestina de Halloween https://t.co/tUjjkuTsRd,2020-11-05 12:03:26,Medellín,Medellín,1324321421905022979,https://twitter.com/i/web/status/1324321421905022979
"Ahora que estamos en época de revivir a los muertos (muy de halloween) para que voten por el partido demócrata y prederle fuego a votos republicanos, os dejo esta maravilla que me encontré por ahí que es mejor que las pirámides.
https://t.co/vzqirYfF55",2020-11-05 11:59:58,Medellín,Hispania,1324320549368221697,https://twitter.com/i/web/status/1324320549368221697
Kira-Halloween 2020 👻🎃 gracias @buitrago922 🥰 https://t.co/dYlJYdmsbI,2020-11-07 14:05:08,Cali,Colombia,1325076824704094213,https://twitter.com/i/web/status/1325076824704094213
Por qué no puede ser halloween todo el año:(((((,2020-11-07 06:29:29,Cali,Colombia,1324962158107627520,https://twitter.com/i/web/status/1324962158107627520
"Parce hace una semana fue halloween, el tiempo se esta pasando jodidamente rapido :0",2020-11-07 05:33:25,Cali,Colombia,1324948046208258049,https://twitter.com/i/web/status/1324948046208258049
Este fue un año lleno de Halloween! https://t.co/ayLa94n7cb,2020-11-07 04:59:43,Cali,Colombia,1324939567699472384,https://twitter.com/i/web/status/1324939567699472384
Por qué está cerrado el hundimiento? Todavía le tienen miedo al escuadrón suicida de Halloween? @MovilidadCali @TRANSITOCALI #movilidadcali https://t.co/cqVH6BuvAX,2020-11-07 04:00:04,Cali,"Cali, Colombia",1324924556612603907,https://twitter.com/i/web/status/1324924556612603907
"linda y tierna, un masmelito, su historia con mark deja enseñanza 💖 iconic moments: cuando le da ansiedad y come, su disfraz en halloween jajaj y cuando se tinturó de rubia ⚡️  su perdida dolió pero muchos fans ya deben superarla y dejarla ir https://t.co/3xcGh4VzXm",2020-11-07 03:28:44,Cali,Colombia,1324916668800376832,https://twitter.com/i/web/status/1324916668800376832
@TheoGelves La de #Halloween  😉😉😉 https://t.co/FQbmI1itYr,2020-11-07 03:24:45,Cali,colombia,1324915668358197256,https://twitter.com/i/web/status/1324915668358197256
Ya empezaron a salir  películas de Navidad  y yo no me ví ni las de Halloween. 😱,2020-11-07 01:50:48,Cali,Colombia,1324892025804763138,https://twitter.com/i/web/status/1324892025804763138
"Estas fueron las alertas con temática de Halloween que se usaron en los directos de #FacebookGaming

Interesados al MD. ❤️

Interested in alerts for streaming or animations in general, write to the intern.

#Animacion #animatic #comionesabiertas #commissionsopen #stream #Twich https://t.co/vWYciI6N6n",2020-11-07 01:15:10,Cali,Colombia,1324883058139475970,https://twitter.com/i/web/status/1324883058139475970
"@waltermunevar Los niños no pueden divertirse en familia en halloween ni las familias reunirse....

Pero...",2020-11-07 01:10:06,Cali,Colombia,1324881779627495424,https://twitter.com/i/web/status/1324881779627495424
"Maquillaje inspirado en Selena Quintanilla: Dulce Leny https://t.co/02N5Y64czz a través de @YouTube 
#selenavive #selenaquintanilla #Halloween2020 #Halloween  #HalloweenAtHome #cosplay",2020-11-06 23:45:32,Cali,Colombia,1324860498408574978,https://twitter.com/i/web/status/1324860498408574978
"✨Face reveal✨
 (La última fue en halloween por eso el maquillaje JSJSSJJS) https://t.co/eSbLeh5rcw",2020-11-06 23:25:54,Cali,Colombia,1324855559221383171,https://twitter.com/i/web/status/1324855559221383171
@Karchezzz Bueno si quieres seguir en Halloween es cosa tuya,2020-11-06 21:06:31,Cali,Colombia,1324820483318206466,https://twitter.com/i/web/status/1324820483318206466
EN VIVO | Celebración Halloween - Día del Niño https://t.co/spNPO5yNWk,2020-11-06 20:54:09,Cali,"Neiva, Colombia",1324817367612837888,https://twitter.com/i/web/status/1324817367612837888
"@GerCaballero97 Jijiji yo también🥺 y quiero que hagamos algo!, vi esas fotos de la fiesta de halloween con Santi, lini y vale y me dio amiguitis 😫",2020-11-06 20:33:41,Cali,Colombia,1324812219872325633,https://twitter.com/i/web/status/1324812219872325633
"#FOTO | #Enfermeras | Lucho Velasco sorprendió a sus fans con curioso maquillaje de Halloween 😱👇
https://t.co/GRAMGH6t0k",2020-11-06 20:20:45,Cali,Colombia,1324808966011080704,https://twitter.com/i/web/status/1324808966011080704
"#TheSusosShow | Por el día de Halloween, Suso y Don Jediondo intercambiaron papeles para contar historias de terror del 2020. ¿Qué tal les fue? 
Mira los capítulos en @CaracolPlay: https://t.co/V6Zqr52OLe https://t.co/EbPsQwYnwv",2020-11-06 19:50:00,Cali,Colombia,1324801224948985859,https://twitter.com/i/web/status/1324801224948985859
"Creemos firmemente que nuestros pequeños son el futuro y todo lo que hagamos para bien de ellos hoy, será un aporte positivo a lo que serán mañana. Así vivimos halloween 🎃",2020-11-06 18:39:22,Cali,Colombia,1324783450558255104,https://twitter.com/i/web/status/1324783450558255104
@adriana26156061 Quitando halloween https://t.co/ZRJmoAkovG,2020-11-06 18:35:34,Cali,Colombia,1324782492960886785,https://twitter.com/i/web/status/1324782492960886785
"Yo: bueno hora de concentrarnos y a trabajar papi

Yo buscando en Youtube música para concentrarme: Bad Bunny, Jhay Cortez, Nicky Jam, Arcangel, Myke Towers, Lunay, Farruko - Halloween Mix",2020-11-06 18:05:24,Cali,Colombia,1324774904336654339,https://twitter.com/i/web/status/1324774904336654339
"@Misaoshi_ Y si he visto las cruces y alguna mala cara, pero será temática halloween",2020-11-07 08:43:26,Barranquilla,Cartagena,1324995865887518720,https://twitter.com/i/web/status/1324995865887518720
"Si tu pierna izquierda fuera Halloween 🎃  y tu pierna derecha fuera Navidad 🎄
Te puedo visitar entre fechas ? 😜💥",2020-11-07 07:36:46,Barranquilla,"Barranquilla, Colombia",1324979090357686272,https://twitter.com/i/web/status/1324979090357686272
Ya deberia actualizar mi cuenta halloween ya paso,2020-11-07 04:05:16,Barranquilla,"Soledad, Colombia",1324925865403297792,https://twitter.com/i/web/status/1324925865403297792
"La princesa KIRA 💖 disfruto su primer HALLOWEEN en Barranquilla, Atlantico, Colombia https://t.co/NLnJNDTIcl",2020-11-07 02:54:29,Barranquilla,BARRANQUILLA - COLOMBIA,1324908051858509824,https://twitter.com/i/web/status/1324908051858509824
"No querían salir disfrazados a  enrumbarse el 31 porque era Halloween 🎃? ... Bueno entonces no se quejen de que ahora están con gripita , tos, fiebre , dolor de garganta .... mejor dicho ! Usted lo que tiene es COVID 

De nada ...",2020-11-06 23:17:21,Barranquilla,"Santa Marta, Colombia",1324853407325323265,https://twitter.com/i/web/status/1324853407325323265
"🧙‍♀️ 🎃 ¡HALLOWEEN SENA 2020!
               🔈PREPÁRATE🔈
👻Un viernes que te erizará la piel 👻 
No te puedes perder este gran evento organizado por la Oficina de Bienestar al Aprendíz.
📆  HOY 06 DE NOV🎃
⏰ 4:00 p.m 👻
🎥 https://t.co/4O223wRrcm https://t.co/DUzcoTnVhI",2020-11-06 20:50:54,Barranquilla,"Valledupar, Cesar ",1324816553486016516,https://twitter.com/i/web/status/1324816553486016516
"Si en mi país adoptaron halloween, que también adopten esto. https://t.co/IcRpJ5k2je",2020-11-06 20:04:50,Barranquilla,	Barranquilla,1324804956877185027,https://twitter.com/i/web/status/1324804956877185027
@lauritaloi Ya Halloween pasó,2020-11-06 14:38:12,Barranquilla,"Cartagena, Colombia",1324722757049962496,https://twitter.com/i/web/status/1324722757049962496
"@NoticiasCaracol Con la minga, con el para nacional, con las fiestas de Halloween y con la marcha de sus colegas guerrilleros de la FARC la Sra. @ClaudiaLopez criticó al gobierno por no apoyar esos eventos mientras que ella brindo respaldo total y ahora que el rebrote es culpa del Sr. @IvanDuque.",2020-11-06 08:23:32,Barranquilla,"Cartagena, Colombia",1324628472371781634,https://twitter.com/i/web/status/1324628472371781634
"Y hoy con este #TBT de lo que fue nuestra noche de halloween en familia 🎃... Los momentos más chévere, los pasamos juntos!! 💕
#halloween2020 en Barranquilla, Atlantico, Colombia https://t.co/w0fw3VoBHs",2020-11-05 23:49:54,Barranquilla,Barranquilla,1324499210239201282,https://twitter.com/i/web/status/1324499210239201282
La noche de Halloween 🎃 https://t.co/Q1SZ1go3vt,2020-11-05 21:27:17,Barranquilla,Cartagena - Colombia,1324463320829726726,https://twitter.com/i/web/status/1324463320829726726
@ojovallenato_ Se dejó puesto el disfraz de momia desde halloween jejeje,2020-11-05 19:45:47,Barranquilla,Barranquilla - Colombia,1324437778524966912,https://twitter.com/i/web/status/1324437778524966912
@MichaelortegaJ Colombiano que se respete no va sin tapabocas a un sitio cerrado a festejar halloween,2020-11-05 17:54:38,Barranquilla,Barranquilla,1324409805704962055,https://twitter.com/i/web/status/1324409805704962055
